마커번호,장소이름,위도,경도,장소종류,하위행정구역코드,
,양림동 선교사 묘지,35.1404504959,126.9114888940,2,gj,gj
,우일선 선교사 사택,35.1383979557,126.9118416921,2,gj,gj
,양림동 호랑가시나무길,35.1380924389,126.9120916781,2,gj,gj
,광주 충효동 요지,35.1674711376,126.9983333183,2,gj,gj
,환벽당 ·조대,35.1855608382,127.0028269101,2,gj,gj
,광주패밀리랜드,35.2227325653,126.8936078564,2,gj,gj
,5·18 기념공원,35.1557506526,126.8585681905,2,gj,gj
,월계동 장고분,35.2139521320,126.8421181890,2,gj,gj
,5·18 자유공원,35.1488677834,126.8399588973,2,gj,gj
,오남제,35.2150813011,126.7674081089,2,gj,gj
,왕동저수지,35.1950132321,126.7142160986,2,gj,gj
,광주무역회관,35.1607326292,126.8114277913,2,gj,gj
,서강사,35.1300546245,126.9219854490,2,gj,gj
,김용학가옥,35.1904250142,126.8882285875,2,gj,gj
,전평제,35.1146356961,126.8493672528,2,gj,gj
,운천저수지,35.1471654718,126.8562352777,2,gj,gj
,상무시민공원,35.1537505721,126.8403948478,2,gj,gj
,풍암저수지 (풍암호수),35.1277317885,126.8700956492,2,gj,gj
,광주 우치공원 동물원,35.2235741448,126.8940800160,2,gj,gj
,송호영당,35.1498891440,126.7956211269,2,gj,gj
,취병조형유허비,35.2208120504,126.8173729858,2,gj,gj
,양씨삼강문,35.1695804550,126.7415781972,2,gj,gj
,쌍암공원,35.2228872434,126.8427290223,2,gj,gj
,빙월당,35.2358674659,126.7452012233,2,gj,gj
,양송천묘역,35.1802227572,126.6855578934,2,gj,gj
,송정공원,35.1478700476,126.8027594348,2,gj,gj
,지산유원지,35.1494112311,126.9491103443,2,gj,gj
,동명동 카페거리,35.1492525371,126.9267289927,2,gj,gj
,광주폴리,35.1826203741,126.8902591590,2,gj,gj
,광주 송정동 떡갈비 골목,35.1397152706,126.7943076079,2,gj,gj
,광석대 (무등산권 국가지질공원),35.1441458348,126.9890013959,2,gj,gj
,무등산 풍혈 (무등산권 국가지질공원),35.1441458348,126.9890013959,2,gj,gj
,신선대와 억새평전 (무등산권 국가지질공원),35.1441458348,126.9890013959,2,gj,gj
,패밀리랜드 카라반 캠핑장,35.2235741448,126.8940800160,2,gj,gj
,사직공원전망타워,35.1416698036,126.9115527465,2,gj,gj
,무등산 리프트모노레일 (지산유원지),35.1487918186,126.9468577811,2,gj,gj
,펭귄마을,35.1401256257,126.9170050814,2,gj,gj
,광주 충장로 케이팝 스타의 거리,35.1476581130,126.9172520929,2,gj,gj
,시리단길,35.2164158666,126.8494896971,2,gj,gj
,양과동정,35.0869251721,126.8634805854,2,gj,gj
,양림동 펭귄마을공예거리,35.1400895088,126.9164190229,2,gj,gj
,거목한정식,35.1457276824,126.9117581828,3,gj,gj
,장어촌,35.1544298073,126.9312617955,3,gj,gj
,석암돌솥밥,35.1872009240,126.9204952589,3,gj,gj
,영안반점,35.1507577010,126.9135856725,3,gj,gj
,영빈관,35.1286152799,126.8853776094,3,gj,gj
,벽옥,35.1396585890,126.8919767497,3,gj,gj
,채미원,35.1495302988,126.9276344619,3,gj,gj
,진스통,35.1476969757,126.9159716496,3,gj,gj
,제일반점,35.1515409291,126.9125968520,3,gj,gj
,대흥반점,35.1273130830,126.9110587055,3,gj,gj
,황톳길,35.1513689261,126.9243958132,3,gj,gj
,화정떡갈비,35.1393069942,126.7949547825,3,gj,gj
,송학식당,35.1404873859,126.7931410250,3,gj,gj
,영광오리탕,35.1620563003,126.9061971541,3,gj,gj
,송정떡갈비 1호점,35.1389542543,126.7948298032,3,gj,gj
,금다연한정식,35.1546367535,126.8505022648,3,gj,gj
,빌리지 1호점,35.1608639310,126.8566154574,3,gj,gj
,금강식육식당,35.1689075428,126.8611343006,3,gj,gj
,[백년가게]민들레,35.1500400975,126.8533132424,3,gj,gj
,계림동잔치집,35.1618648223,126.9160879510,3,gj,gj
,만찬코다리 봉선점,35.1297850288,126.9112502930,3,gj,gj
,탐스바닷가재,35.1486139925,126.9428053659,3,gj,gj
,화풍,35.1319047526,126.9419169742,3,gj,gj
,개마고원,35.1525486232,126.8814718006,3,gj,gj
,당산나무집,35.1298739108,126.9114391630,3,gj,gj
,카패동심,35.1515188824,126.9228598339,3,gj,gj
,초밥이다,35.1457182126,126.8443280338,3,gj,gj
,담양판그릴,35.1153586416,126.8971380128,3,gj,gj
,카페궁,35.1264666417,126.7868502640,3,gj,gj
,테스팅노트,35.1455994830,126.8859243587,3,gj,gj
,퍼스트네팔,35.1462304720,126.9157967018,3,gj,gj
,취홍,35.2144688665,126.8495869595,3,gj,gj
,탱고아구찜,35.2010823090,126.8980441185,3,gj,gj
,코벤트마켓,35.1450043127,126.8389146416,3,gj,gj
,산수쌈밥 동명점,35.1529604109,126.9242763393,3,gj,gj
,서플라이,35.1514452293,126.8375590448,3,gj,gj
,카페얼씨,35.1632935748,126.9831569868,3,gj,gj
,도르르커피,35.1305033571,126.8498890329,3,gj,gj
,김명화서리태콩국수,35.1486189729,126.9088194808,3,gj,gj
,박순자 녹두집,35.1519048421,126.9164298371,3,gj,gj
,오스테리아12,35.1433294737,126.8372537188,3,gj,gj
,어나더 키친 충장로점,35.1481580706,126.9180936728,3,gj,gj
,1960 청원모밀,35.1491523405,126.9144411931,3,gj,gj
,유명회관,35.1552793459,126.9096497965,3,gj,gj
,가매일식,35.1525153326,126.8838215936,3,gj,gj
,장가계,35.2105672617,126.8928971134,3,gj,gj
,용전식육회관,35.2049569441,126.9023408634,3,gj,gj
,금성칡냉면,35.2051540903,126.8991633618,3,gj,gj
,마천루,35.1604002767,126.8674172915,3,gj,gj
,종가집가마솥설렁탕,35.1501428555,126.8527799537,3,gj,gj
,국제 그린카 전시회,35.1467152588,126.8405588979,1,gj,gj
,임방울국악제 전국대회,35.1011713369,126.8961578975,1,gj,gj
,2022 광주식품대전,35.1467180358,126.8405588979,1,gj,gj
,ACC 월드뮤직페스티벌,35.1497523646,126.9198157026,1,gj,gj
,"어린이?가족문화축제 “하우펀(HOW FUN) 9""",35.1460861028,126.9192936186,1,gj,gj
,춘천 한국지역도서전,35.1535381762,126.9274149361,1,gj,gj
,광주 서창 억새축제,35.1384854339,126.8287823667,1,gj,gj
,광주비엔날레,35.1825648257,126.8902647155,1,gj,gj
,Beer Fest Gwangju,35.1498370921,126.8384367851,1,gj,gj
,광주문화재야행,35.1460861028,126.9192936186,1,gj,gj
,광주 ACE Fair,35.1469291222,126.8405366718,1,gj,gj
,무등울림축제,35.1337324867,126.9514994153,1,gj,gj
